種別（カードの場合はカード番号）,作者など,出典,権利種別,その他
s05,Алексей Гаврилович Венецианов,"""Петр Великий. Основание Санкт-Петербурга.""",Public Domain,
s06(left),Johann Heinrich Wedekind,"""Портрет Петра II""",Public Domain,
s06(right),,「雍正朝服像」,Public Domain,
p01,,"""A CARAVAN OF FREIGHT WAGONS""(George Kenan, ""Siberia and the exile system"", p48)",Public Domain,
p02,,"""A CARAVAN OF FREIGHT WAGONS""(George Kenan, ""Siberia and the exile system"", p48)",Public Domain,
p03,,"""A CARAVAN OF FREIGHT WAGONS""(George Kenan, ""Siberia and the exile system"", p48)",Public Domain,
p04,,"""Сбор ясака казаками Енисейской губернии.""",Public Domain,
p05,,"""Сбор ясака казаками Енисейской губернии.""",Public Domain,
p06,,"""Сбор ясака казаками Енисейской губернии.""",Public Domain,
p07,"Carl Peter Mazer, Göteborgs konstmuseum (Gothenburg Museum of Art). Photo: Hossein Sehatlou",https://commons.wikimedia.org/wiki/File:Chinese_Trader_in_Kyakhta_(Russia)_(Carl_Peter_Mazer)_-_Gothenburg_Museum_of_Art_-_GKM_2136.tif,CC BY-SA 4.0,
